person,test,best_score,top3_average,overall_average
CHARVI,1,0.8965033888816833,0.8736657102902731,0.7777657091617585
CHARVI,2,0.9058468341827393,0.8857925136884054,0.7786000907421112
CHARVI,3,0.9345673322677612,0.9210090239842733,0.8362888872623444
CHARVI,4,0.900454044342041,0.868251363436381,0.7709040641784668
CHARVI,5,0.8460490703582764,0.8288395603497823,0.7633774280548096
OTHER_FEMALE,1,0.8549255132675171,0.8199447989463806,0.7285273015499115
OTHER_FEMALE,2,0.9037330150604248,0.8921940326690674,0.8000210583209991
OTHER_FEMALE,3,0.8233987092971802,0.8019465605417887,0.7253890037536621
OTHER_FEMALE,4,0.8448447585105896,0.8179663221041361,0.7326517164707184
OTHER_FEMALE,5,0.8765810132026672,0.8628761768341064,0.7615671157836914
OTHER_MALE,1,0.6660048365592957,0.6466132601102194,0.616828978061676
OTHER_MALE,2,0.7875555157661438,0.7739165623982748,0.6829130470752716
OTHER_MALE,3,0.6311824321746826,0.614935020605723,0.5698030412197113
OTHER_MALE,4,0.8425005674362183,0.8180158734321594,0.7171386063098908
OTHER_MALE,5,0.7991507053375244,0.780229369799296,0.6825960993766784
