person,test,best_score,top3_average,overall_average
CHARVI,1,0.7400937080383301,0.7090228796005249,0.6446259379386902
CHARVI,2,0.7608643770217896,0.7518652677536011,0.7123512387275696
CHARVI,3,0.8093649744987488,0.7712128162384033,0.7055367648601532
CHARVI,4,0.7836380004882812,0.7346104780832926,0.6930110275745391
CHARVI,5,0.7171052694320679,0.6851845979690552,0.6478327751159668
OTHER_FEMALE,1,0.7356182336807251,0.6866870323816935,0.6433362483978271
OTHER_FEMALE,2,0.7009617686271667,0.6773059368133545,0.6455723524093628
OTHER_FEMALE,3,0.7179707288742065,0.7015176018079122,0.6615647315979004
OTHER_FEMALE,4,0.6557877063751221,0.6398829817771912,0.6077308356761932
OTHER_FEMALE,5,0.6980513334274292,0.6739816268285116,0.6443975806236267
OTHER_MALE,1,0.6988772749900818,0.6526836355527242,0.6003945112228394
OTHER_MALE,2,0.6740947365760803,0.630188524723053,0.5902754783630371
OTHER_MALE,3,0.768501341342926,0.714718222618103,0.672104150056839
OTHER_MALE,4,0.6943210363388062,0.6534669597943624,0.6023178935050965
OTHER_MALE,5,0.707126259803772,0.6701584259668986,0.6216028988361358
